id,p,d1,d2,merging
0,0,1,2,0
1,1,3,4,0
2,2,5,6,0
3,3,8,7,0
4,4,10,9,0
5,5,11,12,0
6,6,13,14,0
7,8,15,16,0
8,21,13,16,1
9,21,26,27,0
10,27,19,32,0
11,26,18,31,0
12,17,18,10,1
13,20,11,19,1
14,17,22,24,0
15,20,23,25,0
16,24,30,28,0
17,29,25,30,1
